"poly-component__picture src","poly-component__title","poly-component__title href","andes-money-amount__currency-symbol","andes-money-amount__fraction","andes-money-amount__fraction 2","andes-money-amount__discount","poly-price__installments","andes-money-amount__currency-symbol 3","andes-money-amount__fraction 3","poly-component__shipping","poly-shipping__promise-icon--full href"
"https://http2.mlstatic.com/D_Q_NP_2X_907694-MLA83502406489_042025-T.jpg","Alfombra 2x1,40 Mts Living Peluda Nórdica Pelo Largo","https://articulo.mercadolibre.com.ar/MLA-1112868588-alfombra-2x140-mts-living-peluda-nordica-pelo-largo-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D0%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","70.485","59.912","15% OFF","Cuota promocionada en 6 cuotas de","$","11.679","Envío gratis","[object Object]"
"https://http2.mlstatic.com/D_Q_NP_2X_653526-MLA83210893532_042025-T.jpg","Alfombra 1x1,50 Mts Peluda Pelo Moderna, Dormitorio / Living","https://articulo.mercadolibre.com.ar/MLA-1112969994-alfombra-1x150-mts-peluda-pelo-moderna-dormitorio-living-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D1%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","44.693","8.712","27% OFF","Cuota promocionada en 6 cuotas de","","","","[object Object]"
"https://http2.mlstatic.com/D_Q_NP_2X_876035-MLA81922293138_012025-T.jpg","Alfombra 2x2,40 Mts Nórdica Living Peluda Grande Pelo Largo","https://articulo.mercadolibre.com.ar/MLA-1112483949-alfombra-2x240-mts-nordica-living-peluda-grande-pelo-largo-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D2%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","98.341","87.523","11% OFF","Cuota promocionada en 6 cuotas de","$","17.062","Envío gratis","[object Object]"
"https://http2.mlstatic.com/D_Q_NP_2X_831933-MLA84057071450_052025-T.jpg","Alfombra 100x60 Cm Peluda Pie / Costado De Cama Dormitorio","https://articulo.mercadolibre.com.ar/MLA-1113093155-alfombra-100x60-cm-peluda-pie-costado-de-cama-dormitorio-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D3%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","18.113","14.852","18% OFF","Cuota promocionada en 6 cuotas de","$","2.895","","[object Object]"
"https://http2.mlstatic.com/D_Q_NP_2X_990486-MLA81922164290_012025-T.jpg","Alfombra 3x2 Mts Nórdica Living Peluda Grande Pelo Largo","https://articulo.mercadolibre.com.ar/MLA-1113095818-alfombra-3x2-mts-nordica-living-peluda-grande-pelo-largo-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D4%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","122.022","","Cuota promocionada en 6 cuotas de","$","23.788","Envío gratis","[object Object]"
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","2x2,30 Mt Alfombras Nordicas Pelo Largo Edicion Limitada","https://articulo.mercadolibre.com.ar/MLA-1768825754-2x230-mt-alfombras-nordicas-pelo-largo-edicion-limitada-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D5%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","72.000","66.240","8% OFF","6 cuotas de","$","15.718","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombra Living Peluda Nordica Medida 1x1,50 M. Lavable","https://articulo.mercadolibre.com.ar/MLA-1483693647-alfombra-living-peluda-nordica-medida-1x150-m-lavable-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D6%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","100.000","","Mismo precio en 9 cuotas de","$","11.111","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombras Terciopelo (pelo Corto) Edición Limitada 2x1,30 Mt","https://articulo.mercadolibre.com.ar/MLA-1768873378-alfombras-terciopelo-pelo-corto-edicion-limitada-2x130-mt-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D7%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","52.552","","6 cuotas de","$","12.470","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombra Living Peluda Nordica Medida 2x1,40 Metros. Lavable","https://articulo.mercadolibre.com.ar/MLA-2037104628-alfombra-living-peluda-nordica-medida-2x140-metros-lavable-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D8%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","190.000","","Mismo precio en 6 cuotas de","$","31.666","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombra Peluda Nordica 100x60 Cm. Costado De Cama Premium","https://articulo.mercadolibre.com.ar/MLA-1478217409-alfombra-peluda-nordica-100x60-cm-costado-de-cama-premium-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D9%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","55.000","","Mismo precio en 9 cuotas de","$","6.111","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombra Living Peluda Nordica Medida 2x2,40 Metros. Lavable","https://articulo.mercadolibre.com.ar/MLA-2037517222-alfombra-living-peluda-nordica-medida-2x240-metros-lavable-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D10%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","250.000","","Mismo precio en 6 cuotas de","$","41.666","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Alfombra Living Peluda Nordica Medida 3x2 Metros. Lavable","https://articulo.mercadolibre.com.ar/MLA-2037426206-alfombra-living-peluda-nordica-medida-3x2-metros-lavable-_JM?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D11%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","","","300.000","","Mismo precio en 6 cuotas de","$","50.000","Envío gratis",""
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Manta Frazada Plush 1 Plaza Y Media (2x1,80 Metros) Liso Beige Natural","https://www.mercadolibre.com.ar/manta-frazada-plush-1-plaza-y-media-2x180-metros/up/MLAU3171421786?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D12%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26wid%3DMLA2077425366%26sid%3Drecos%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","19.840","9.920","50% OFF","6 cuotas de","$","2.354","","[object Object]"
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Manta Frazada Flannel 2 Plazas Y Media (2,20x2,50 Metros) Liso Turquesa Pastel","https://www.mercadolibre.com.ar/manta-frazada-flannel-2-plazas-y-media-220x250-metros/up/MLAU3168598467?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D13%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26wid%3DMLA2078728716%26sid%3Drecos%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","30.155","10.855","64% OFF","6 cuotas de","$","2.576","","[object Object]"
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Manta Frazada Flannel 1 Plaza Y Media (2,20x1,80 Metros) Liso Coral Calido","https://www.mercadolibre.com.ar/manta-frazada-flannel-1-plaza-y-media-220x180-metros/up/MLAU3166050605?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D14%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26wid%3DMLA1496336297%26sid%3Drecos%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","26.950","10.780","60% OFF","6 cuotas de","$","2.558","","[object Object]"
"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Manta Frazada Flannel 1 Plaza Y Media (2,20x1,80 Metros) Liso Bordó","https://www.mercadolibre.com.ar/manta-frazada-flannel-1-plaza-y-media-220x180-metros/up/MLAU3171634536?gallery_type=horizontal&sizeForPhoto=416&pdp_filters=official_store%3A210890#polycard_client%3Drecommendations_recoview-selleritems-eshops%26reco_backend%3Dsame-seller-odin%26reco_client%3Drecoview-selleritems-eshops%26reco_item_pos%3D15%26reco_backend_type%3Dlow_level%26reco_id%3D79c8d02a-4cfc-4589-acd4-8b6c80372508%26wid%3DMLA2077569592%26sid%3Drecos%26tracking_id%3D46b5beac-f276-4064-9ddf-88fea6eeeae5%26source%3Deshops%26seller_id%3D354708392%26category_id%3DMLA2513","$","26.950","10.780","60% OFF","6 cuotas de","$","2.558","","[object Object]"